name,image_url,description,cuisine,course,diet,prep_time,ingredients,instructions
Paneer Butter Masala Biryani Recipe,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2021/Paneer_Butter_Masala_Biryani_Recipe_6_1600.jpg,"Paneer Butter Masala Biryani Recipe, is a delicious vegetarian biryani, made making a creamy paneer butter masala and cooking it in a single pot. Serve this to your guests at your house parties, or make it for a Sunday brunch for your family. ",North Indian Recipes,Main Course,Vegetarian,Total in 45 M,"

							 		3 tablespoons Butter (Unsalted) 

							 		2 inch Ginger							 		, finely chopped							 	

							 		8 cloves Garlic							 		, finely chopped							 	

							 		2 Onions							 		, thinly sliced							 	

							 		3 Brown cardamom (Badi Elaichi) 

							 		1 cup Homemade tomato puree 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Kashmiri Red Chilli Powder 

							 		1 teaspoon Garam masala powder 

							 		1 teaspoon Coriander (Dhania) Powder 

Salt							 		, to taste							 	

							 		1 teaspoon Jaggery 

							 		1/4 cup Fresh cream 

							 		200 grams Paneer (Homemade Cottage Cheese)							 		, cut into cubes							 	

							 		1/4 cup Mint Leaves (Pudina)							 		, chopped							 	

							 		1-1/4 cups Water 
","To begin making the  Paneer Butter Masala Biryani Recipe, prep all the ingredients and keep ready.In a large biryani pot or a cooking pan, heat butter medium heat, add the ginger, garlic and onions. Allow the onions turn soft and golden brown.Stir in the badi elaichi, tomato puree, turmeric powder, red chilli powder, coriander powder, garam masala powder, jaggery and salt. Mix well and bring the tomato gravy to a brisk boil. When the gravy begins to boil, add in the paneer pieces and fresh cream. Mix well, and ensure that you are left with a thick semi coating masala on the paneer.Stir in a handful of mint leaves that is roughly chopped, 1-1/2 cups washed basmati rice and stir well to combineAdd 1-1/4 cups of water and allow the Paneer Butter Masala Biryani to come to a boil. Once it comes to a boil, turn the heat to low, cover the pan cook until all the water is absorbed.Once all the water is absorbed, turn off the heat and allow the biryani to rest for 10 minutes before giving it a stir. Gently stir more pudina leaves and serve the Paneer Butter Masala Biryani warm along with raita.Serve Paneer Butter Masala Biryani Recipe, along with Onion Raita for a simple meal. Finish this simple yet delicious meal with Kesar Shahi Tukda With Rabri Recipe (Saffron Bread Pudding With Spiced Milk Custard)  "
Fish Molee Recipe - Kerala Style Fish Curry ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Fish_Molee.jpg,Fish Molee is one traditional Kerala Cuisine based Fish Stew recipe. The addition of coconut milk and exotic spices gives a nice aromatic and light sense to it. Kerala Style Fish Molee goes perfectly with Steamed Rce to enjoy a weekday meal.,Kerala Recipes,Lunch,High Protein Non Vegetarian,Total in 35 M,"

							 		300 gram Fish 

							 		3 teaspoon Oil 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 Onion							 		, chopped							 	

							 		1 teaspoon Ginger							 		, paste							 	

							 		2 Tomatoes							 		, chopped							 	

							 		3 cloves Garlic							 		, finely chopped							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Red Chilli powder 

							 		1/4 teaspoon Vinegar 

							 		1/4 Lemon juice 

							 		50 ml Coconut milk 

Salt							 		, to taste							 	
","To begin making the Fish Molee Recipe, firstly wash the fish cutlet pieces and season with salt. In a heavy bottomed pan, heat some oil on medium flame. Add cumin seeds and let it crackle. Add chopped onion and saute until the onions are translucent. Add garlic, ginger paste and saute until the raw smell of garlic and ginger goes away.Add in the chopped tomatoes and saute until the tomatoes are mushy and oil starts to leave from the sides. This will take 3 to 4 minutes.After 3 to4 minutes add in turmeric powder and red chili powder, mix well and pour a cup of water into the pan. Once the water reaches the boiling point, lower the flame, add coconut milk and the fish pieces.When the fish is fully cooked, add lime juice and vinegar. Add appropriate amount of salt and give the curry a good stir. Turn off the flame.Serve Fish Molee along with Appams or Steamed Rice for a simple weekday Lunch. You can also make it for your weekend Lunch with other Kerala recipes."
Gulkand Seviyan Kheer Recipe ,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/sevian_gulkand_kheer_recipe_8_1600.jpg,"Gulkand Seviyan Kheer Recipe is a lip smacking kheer recipe with prominent flavours of rose. The fragrant kheer, is a creamy rich preparation, with hidden notes of cardamom and a little crunch from the pistachios added to it. ",North Indian Recipes,Dessert,Vegetarian,Total in 30 M,"

							 		1-1/2 liter Milk							 		, full fat							 	

							 		70 grams Thin Semiya (Seviyan) 

							 		1/2 teaspoon Cardamom Powder (Elaichi) 

							 		1/3 cup Gulkand 

Saffron strands							 		, a few							 	

							 		6 Pistachios							 		, chopped							 	

Rose water							 		, as required							 	

Dried rose petals							 		, for garnish							 	
","To begin making the Gulkand Seviyan Kheer Recipe in a saucepan bring the milk to a rolling boil. Once the milk has boiled, reduce the flame, and allow the milk to simmer on low flame, until it reduces to half its quantity. This process will take a good 20 minutes. Ensure the milk is stirred occasionally to prevent the bottom of the pan burning the milk. It is also always a good idea to keep a ladle inside the milk container. Once the milk is reduced, add the cardamom powder, and a few strands of saffron. Next, to this add the gulkand and mix vigorously until it melts and comes together along with the milk. Adjust the sweetness of the gulkand kheer, based on the sweetness of the gulkand, if required add sugar to suit your taste. Since the gulkand is already packed with the rose flavour, depending on how strong or mild you prefer, add the rose water, according to how aromatic you like the gulkand kheer to be. Finally, add in the thin seviyan and wait until the seviyan wilts down and becomes soft. Turn off the heat, transfer the Gulkand kheer to a serving bowl and garnish with some crushed pistachios and dry rose petals. Serve Gulkand Seviyan Kheer as dessert or part of a meal that consists of Ajwain Puri Recipe, and Aloo Tamatari Recipe for a lovely comforting Sunday brunch."
Pumpkin Peas Palya Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pavithrahr-gmail.com/Pumpkin_Peas_Palya_or_Dry_Curry.jpg,"Pumpkin Peas Palya is easy and simple. Also called as Pumpkin Peas Curry, it is slightly sweet, tangy and spicy. It’s a delicious treat for all the pumpkin lovers. We have used coconut oil and grated coconut to give an authentic flavour of coastal Karnataka. ",South Indian Recipes,Lunch,Vegetarian,Total in 30 M,"

							 		1-1/2 cup Kaddu (Parangikai/ Pumpkin)							 		, cubed							 	

							 		1/2 cup Green peas (Matar)							 		, cooked							 	

							 		2 tablespoon Fresh coconut							 		, grated							 	

							 		2 teaspoon Amchur (Dry Mango Powder) 

							 		1 teaspoon Garam masala powder 

							 		2 teaspoons Red Chilli powder 

							 		1 tablespoon Coconut Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon Chana dal (Bengal Gram Dal) 

							 		5 Curry leaves 

							 		2 cups Water 

Salt							 		, as per taste							 	
","To begin making Pumpkin Peas Palya Recipe, take a vessel and boil water. Now add pumpkin cubes and cook for 5 to 10 minutes or until they are half cooked. Strain water and keep this aside.Heat a heavy wok, add oil. Now add mustard seeds and saute well until it splutters.Now add chana dal, fry until they turn golden. Add curry leaves, fry for few seconds.Now add the cooked pumpkin cubes and cooked peas. Add amchur powder, garam masala and red chili powder, mix well. Let it cook for about a minute.Now add salt, grated coconut, and mix. Close and cook for 3-5 minutes. Serve Pumpkin Peas Palya along with Tomato Onion Sambar and Steamed Rice for a weekday meal. You can also serve Curry Leaves Buttermilk with this meal."
Chettinad Kathirikai Chops Recipe - Brinjal Curry for Biryani,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sneha-archanaskitchen.com/Chettinad_Kathirikai_Chops_Recipe_Brinjal_Chops__1600.jpg,"A lip smacking robust spicy dish, the Chettinad Kathirikai Chops gets its aroma from the freshly roasted and ground spices. Although it can be served with Chapatis or Jeera Rice, the brinjal chops served with biryani is a match made in heaven. ",Chettinad,Main Course,Vegetarian,Total in 40 M,"

							 		5 Small Brinjal (Baingan / Eggplant) 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		2 teaspoons Garam masala powder 

							 		2 teaspoons Red Chilli powder 

							 		2 teaspoons Jaggery 

							 		1 tablespoon Tamarind Paste 

							 		2 Tomatoes							 		, finely chopped							 	

Salt							 		, to taste							 	
To be ground into a paste

							 		2 tablespoons Black sesame seeds 

							 		2 tablespoons Raw Peanuts (Moongphali) 

							 		2 teaspoon Cumin seeds (Jeera) 

							 		1 inch Ginger 

							 		6 cloves Garlic 

							 		2 Onions							 		, sliced							 	

							 		2 Green Chillies 
To Temper

							 		1 tablespoon Gingelly oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 pinch Asafoetida (hing) 

							 		2 sprig Curry leaves 
","To begin making the Chettinad Kathirikai Chops, wash and cut the brinjals into wedges and soak it a bowl of salted water. In a small pan on medium flame, dry roast the cumin seeds, black sesame seeds and peanuts until fragrant. Turn off the flame and allow it to cool.In a mixer jar, grind the roasted cumin seeds, sesame seeds, peanuts, ginger, garlic, green chilies and onions into a fine paste using little water. Set aside.Moving ahead, in a heavy bottomed pan, heat oil on medium flame, add the mustard seeds and let them crackleAdd asafoetida, and curry leaves. Saute for a few minutes until the curry leaves stop crackling. Add the ground masala, turmeric powder, garam masala powder, red chilli powder and salt. Mix well. Add the drained brinjal wedges, tomatoes, cover and cook on low flame for 2 minutes.Open the lid, add the jaggery, tamarind pulp, half a cup of water and bring to a boil. Adjust water to the required consistency. Cover and cook on low flame for 12-15 minutes, until the Brinjals are completely cooked and begin to become mushy. Turn off the flame. Serve Chettinad Kathirikai Chops along with Hyderabadi Biryani With Basmati Rice (Mutton & Chicken) or Ambur Star Chicken Biryani Recipe and Sweet & Spicy Coriander Tadka Raita for a complete Biryani meal."
Kabuli Chana Rasam Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Sowpernica/Channa_Rasam_1600.jpg,"Channa Rasam is a lip smacking rasam which is made with the goodness of channa water, which is the water obtained in the process of boiling chickpeas.",South Indian Recipes,Lunch,High Protein Vegetarian,Total in 30 M,"

							 		2 Tomatoes 

							 		1 tablespoon Kabuli Chana (White Chickpeas)							 		, boiled							 	

							 		1 cup Chana stock							 		, (water in which channa was boiled)							 	

							 		1-1/2 teaspoons Lemon juice 

							 		1/4 teaspoon Turmeric powder (Haldi) 

Salt							 		, as per required							 	

							 		1/4 teaspoon Asafoetida (hing) 

							 		2 teaspoons Coriander (Dhania) Leaves							 		, finely chopped							 	
For tempering

							 		1 teaspoon Ghee 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 clove Garlic							 		, finely chopped							 	

							 		5-6 Curry leaves 
For fresh rasam masala

							 		5-6 Curry leaves 

							 		1/2 teaspoon Whole Black Pepper Corns 

							 		1-1/2 Cumin seeds (Jeera) 

							 		2 Dry Red Chillies 
","To begin with Kabuli Chana Rasam, grind tomatoes to a paste and dilute it with 2 cups of water.Add turmeric powder, hing and salt to this, transfer to a saucepan and bring to a rolling boiling till the raw smell vanishes.To make the fresh rasam masala, in a mixer-jar combine black peppercorns, cumin seeds, curry leaves and dried red chillies. Grind to a coarse masala. Mash coarsely the boiled chana and add the freshly ground rasam masala, boiled chana and the 1 cup of chana stock and boil until the rasam froths up. Heat one teaspoon of ghee in a tadka pan, add mustard seeds and allow it to splutter. . Once it splutters, add finely chopped garlic pieces and curry leaves. Pour this tempering over the boiling rasam. Turn off the flame. Serve Channa Rasam with steamed rice with a dollop of ghee and Elai Vadam, Chow Chow Pasiparuppu Poriyal Recipe (Chayote Squash And Moong Stir Fry) and Pudina Buttermilk Recipe. "
North Indian Chawli ki Sabzi Recipe | Yard Long Beans | Barbati | Karamani,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/North_Indian_Chawli_ki_Sabzi_Recipe___Yard_Long_Beans___Barbati___Karamani_3_1600.jpg,"North Indian  Chawli ki Sabzi Recipe is a dish that is eaten a lot by the people in North India. The long beans is type of legume that is used a lot in North India. They typically use the pod as well which is called the black eyed beans to make a sabzi out of it. The recipe is quick simple, all you need is to chop the beans and pressure cook and toss it along with simple masala to make this delicious tasting sabzi.",North Indian Recipes,Lunch,Vegetarian,Total in 40 M,"

							 		300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati)							 		, finely chopped							 	

							 		1 Ajwain (Carom seeds) 

							 		4 cloves Garlic							 		, finely chopped							 	

							 		2 Tomatoes							 		, finely chopped							 	

							 		1 teaspoon Red Chilli powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/4 teaspoon Garam masala powder 

							 		2 teaspoons Coriander Powder (Dhania) 

							 		1 teaspoon Amchur (Dry Mango Powder) 

							 		1 tablespoon Jaggery 

Salt							 		, to taste							 	

Mustard oil 
","To begin making the North Indian Chawli ki Sabzi Recipe, Chop the beans and pressure cook along with a little salt and 2 tablespoons water for two whistles and turn off the heat. Release the pressure immediately to maintain the fresh green colours of the beans.Heat oil in a kadai/ wok; add the ajwain and allow it to crackle. Add the garlic and saute for a few seconds.Add the tomatoes, turmeric, red chilli, coriander, amchur powders and saute until the tomatoes become mushy. Finally add the cooked green Chawli, jaggery add more salt if required and stir well to combine for 3 to 4 minutes.Once done, check the taste and adjust seasonings accordingly and transfer the Chawli ki Sabzi to a serving bowl.Serve the North Indian Chawli ki Sabzi Recipe along with Phulka,  Dhaba Style Dal Fry and Yogurt to make a healthy lunch or dinner"
Bell Pepper Sabji Recipe-No Onion No Garlic ,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuli_Ajay/Sweet_Pepper_sabji_Nooniongarlic_colred_peppers_sabji.jpg,Including a variety of coloured fruits and vegetables in our daily diet is not only eye pleasing but also helps to increase the intake of a variety of nutrients. Coloured peppers (capsicum) are easily available at most vegetable vendors and hence are easier to include in the regular diet.,Maharashtrian Recipes,Lunch,Vegetarian,Total in 20 M,"

							 		1 Yellow Bell Pepper (Capsicum)							 		, diced							 	

							 		1 Red Bell pepper (Capsicum)							 		, diced							 	

							 		1 tablespoon Groundnut powder 

							 		2 teaspoons Sesame powder 

							 		1/2 teaspoon Maharashtrian Goda Masala							 		, optional							 	

							 		1/2 teaspoon Red Chilli powder 

							 		1/4 Turmeric powder (Haldi) 

							 		1/4 teaspoon Asafoetida (hing) 

							 		1 teaspoon Tamarind Paste 

							 		1-1/2 teaspoon Jaggery							 		, grated							 	

							 		2 teaspoons Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1/2 teaspoon Cumin seeds (Jeera) 

Coriander (Dhania) Leaves							 		, as required for garnishing							 	
","To begin making the Bell Pepper Sabji Recipe, keep all the ingredients prepped and ready. First heat oil in a kadhai/wok.Add the mustard seeds and once they splutter add the cumin seeds.Add in the colored bell peppers and saute till it softens. Add hing, turmeric powder, red chilli powder and Goda masala (if using) and mix well.Add salt and cook covered for 1 to 2 minutes. Add the tamarind paste, jaggery, groundnut powder, sesame powder and a little water (about 3-4 tablespoon).Cook uncovered for 1 to 2 minutes more, stir once or twice.Garnish with coriander leaves and serve immediately. Serve Bell Pepper Sabji Recipe along with Gujarati Dal and Phulkas for a weekday lunch or dinner."
Vazhakkai Poriyal Recipe - Raw banana Roast With Pepper,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2020/raw_banana_poriyal_vazhakkai_roast_recipe_12_1600.jpg,"Vazhakkai Poriyal Recipe is a classic tamil nadu style poriyal which is also made ayurvedic without the addition of red chillies, onion and garlic. This poriyal made from raw banana tossed in asafoetida and black pepper makes it super delicious and tasty. The dish is very quick and easy to prepare and kids will love to try this recipe as it is flavorful and tasty. Raw banana is equally nutritious vegetable as it is diabetic friendly and has lots minerals, vitamins and a good source of fiber.",Tamil Nadu,Side Dish,Diabetic Friendly,Total in 35 M,"

							 		2 tablespoons Sesame (Gingelly) Oil 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1 sprig Curry leaves							 		, roughly chopped							 	

							 		2 Raw Banana 

							 		1 teaspoon Black pepper powder 

							 		1/2 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Asafoetida (hing) 

Salt							 		, to taste							 	
","We begin making the Vazhakkai Poriyal Recipe, cut the raw banana into half along with the skin and 1/2 cup of water and pressure cook for 4 to 5 whistles.Turn off the heat and allow the pressure to release naturally. Once the pressure releases, peel the skin off the slice/ dice the cooked raw banana into small pieces. Heat oil in a heavy bottomed pan over medium heat; add the mustard seeds, urad dal, and curry leaves and allow them to crackle and the dal to turn golden and crisp.Add the asafoetida, cooked raw banana, turmeric powder, black pepper powder and salt to taste.Roast the Vazhakkai Poriyal until it gets well combined and has a light crispy texture. Once done, turn off the heat, check the salt and spices and adjust accordingly.Transfer the Vazhakkai Poriyal / Raw Banana Roast into a serving bowl.Serve the Vazhakkai Poriyal Recipe - Raw banana Roast as side dish along with Steamed Rice and Sambar for a delicious weekend lunch."
Butter Chicken With Tandoori Mayo Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Butter_Chicken_Recipe_With_Tandoori_Mayo-1.jpg,Butter Chicken or Chicken Makhani is a creamy and delicious preparation of chicken in rich tomato gravy. Butter Chicken With Tandoori Mayo Recipe is a variant of the Mughlai Chicken Makhani.,North Indian Recipes,Lunch,,Total in 180 M,"

							 		400 grams Boneless chicken							 		, cubed to bite size (2-inches)							 	

Butter (Salted)							 		, as required							 	

Oil							 		, as required							 	
For Chicken Marination:

							 		2 tablespoon Del Monte Tandoori Mayo 

							 		1 tablespoon Cumin powder (Jeera) 

							 		1 tablespoon Coriander Powder (Dhania) 

							 		1 tablespoon Red Chilli powder 

							 		1/2 tablespoon Turmeric powder (Haldi) 

							 		3/4 tablespoon Ginger							 		, grated							 	

							 		3/4 tablespoon Garlic							 		, grated							 	

							 		1 tablespoon Lemon juice 

							 		2 tablespoon Curd (Dahi / Yogurt) 

							 		1 teaspoon Salt 
For Butter Chicken Gravy:

							 		2 Onion							 		, chopped							 	

							 		5 Tomatoes							 		, chopped							 	

							 		1 cup Water 

							 		1 teaspoon Turmeric powder (Haldi) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Coriander Powder (Dhania) 

							 		1/2 teaspoon Cumin powder (Jeera) 

							 		1/2 inch Ginger							 		, peeled and finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		2 tablespoon Butter (Salted) 

							 		1/2 teaspoon Sugar 

							 		1 tablespoon Del Monte Tandoori Mayo 

							 		4 tablespoon Fresh cream 

							 		1 teaspoon Oil 
For Garnish:

Coriander (Dhania) Leaves 

							 		1 teaspoon Fresh cream 

							 		1 tablespoon Butter (Salted) 
","To prepare Butter Chicken With Tandoori Mayo Recipe, first marinate the chicken. In a mixing bowl, add the chicken pieces and all the ingredients mentioned in ""For Marination"" list.Combine all the ingredients together and mix well by applying the marinade to the chicken pieces.Close this bowl and leave it in the refrigerator for at least 2 hours.After the chicken gets marinated and when it is time to make the gravy, keep the marinated chicken out from the freezer.Now to prepare the pan fried chicken tikkas/kebabs, heat a kadai/wok with 2 teaspoon oil. Once the oil is heated, add 2 tablespoon butter and wait for it to melt.After butter gets melted, add the marinated chicken pieces and fry in batches till they are cooked. Add more butter if needed while frying.After frying remove the chicken kebabs/tikka and keep aside.To prepare tomato gravy for the butter chicken, boil the tomatoes for 10 minutes in a cup of water and switch off the gas.After cooling, add this to a mixer along with chopped onion and grind to a thin puree.In the pan, add a teaspoon of oil and 2 tablespoons butter. After the butter melts, add ginger and green chillies and saute for 2 minutes.Add the spice powders (turmeric powder, red chili powder, cumin powder and coriander powder) one by one and saute till they mix well and are aromatic.Now pour the tomato and onion puree and mix well with spices.Simmer on low flame till oil rises to the surface of the gravy and the color of the gravy changes.Add the chicken tikka pieces and mix well. Add 1/2 teaspoon sugar and mix well.Simmer the gravy for 10 minutes. Adjust salt. Now add fresh cream and Delmonte tandoori mayo, mix and simmer for 5 minutes.Garnish with cream, a knob of butter and coriander leaves. Serve with steamed Basmati rice, Naan or Pudina Tawa Paratha."
Vegetable Yakhni Pulao Recipe,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Vegetable_Yakhni_Pulao_Recipe-1.jpg,The origins of Yakhni Pulao lies back to Persia and was introduced to Indians by the Mughal rulers. Aromatic spices are the essence of this pulao or pilaf. Yogurt is another ingredient which is the key to bringing all these flavours together and giving this pulao its unique flavor. ,North Indian Recipes,Dinner,Vegetarian,Total in 65 M,"
Spices to be powdered

							 		1 teaspoon Ajwain (Carom seeds) 

							 		1 tablespoon Coriander (Dhania) Seeds 

							 		1 teaspoon Fennel seeds (Saunf) 

							 		3 Cloves (Laung) 

							 		4 Cardamom (Elaichi) Pods/Seeds 

							 		2 inch Cinnamon Stick (Dalchini) 

							 		2 to 3 Whole Black Peppercorns 
For the Rice:

							 		2 cups Vegetable stock							 		, or water							 	

							 		2 cups Basmati rice 

							 		1 Onion							 		, finely chopped							 	

							 		1 inch Ginger							 		, grated							 	

							 		4 cloves Garlic							 		, grated							 	

							 		2 Green Chillies							 		, slit							 	

							 		1 Bay leaf (tej patta) 

							 		1 Carrot (Gajjar)							 		, thinly sliced							 	

							 		1 cup Cauliflower (gobi)							 		, cut into florets							 	

							 		1/2 cup Green beans (French Beans)							 		, thinly sliced							 	

							 		1/2 cup Green peas (Matar) 

							 		1 cup Curd (Dahi / Yogurt)							 		, whisked							 	

							 		1/2 cup Mint Leaves (Pudina)							 		, finely chopped							 	

Salt							 		, to taste							 	

							 		4 tablespoon Ghee 
For Garnishing:

							 		1/4 cup Caramelized onions 

Mint Leaves (Pudina)							 		, for garnish							 	

							 		1 teaspoon Ghee 

							 		1 tablespoon Cashew nuts 

							 		1 tablespoon Sultana Raisins 
","To begin making the Vegetable Yakhni Pulao Recipe, first roast all the spices including shahi jeera, coriander seeds, fennel seeds, cloves, cardamom, cinnamon stick and whole black peppercorns in a small pan over medium heat. This will take about 4 to 5 minutes.Once roasted, make a coarse powder and keep aside.Prepare the caramelized onions for garnish. Heat a pan with some oil. Add the thinly sliced onions and cook till it turns brown in colour. Keep it aside.In another small pan, add a tablespoon of ghee and roast the cashewnuts over medium heat until golden brown and crisp. Once golden brown, add the raisins and saute for a few minutes and turn off the heat. Keep this aside for garnish.The final step is to cook the rice with the stock and vegetables.In a large sauce pan over medium heat, add 3 tablespoons of ghee. Add the onions, ginger, garlic, green chilies, bay leaf and saute until the onions soften and you get good aromas.Add the spice powder mix, the chopped vegetables and the rice. Stir for a few minutes until you can see the rice is well coated with the spices.After a few minutes, add the vegetable stock/water and the yogurt. Add the salt and the chopped mint leaves. Stir well to combine. Bring the Yakhni Pulao to a brisk boil.Once it comes to a brisk boil, turn the heat to low, cover the pan and cook the pulao until all the rice is absorbed. The rice should be of grainy texture.Once all the water is absorbed, turn off the heat. Allow the Yakhni Pulao to rest for 10 minutes before you can stir.After 10 minutes, open, add the chopped coriander leaves and give it a stir with a large fork and fluff up the rice.Transfer to a serving dish, garnish with the caramelised onions, cashew nuts and mint leaves.Serve the Yakhni Pulao Recipe along with Paneer Tikka Masala, Punjabi Dal Tadka and Phulka for a special weekend dinner."
Rajma Saagwala (Dry Kidney Beans And Spinach Stir Fry) Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Rajma_Saagwala_Dry_Kidney_Beans_and_Spinach_Stir_Fry.jpg,"Rajma Saagwala is a power packed, protein enriched dish prepared by stir frying red kidney beans and spinach in minimal spices. As we all know, Spinach is a super food loaded with tons of nutrients, this dish makes for a very healthy side dish for phulkas or paratha to be packed in lunchbox for kids.",North Indian Recipes,Lunch,Vegetarian,Total in 35 M,"

							 		1 cup Rajma (Large Kidney Beans)							 		, boiled							 	

							 		2 cups Spinach Leaves (Palak)							 		, roughly chopped							 	

Oil							 		, as required							 	

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 Onion							 		, finely chopped							 	

							 		5 Garlic							 		, cloves, finely chopped							 	

							 		1 Green Chilli							 		, finely chopped							 	

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/2 teaspoon Garam masala powder 

Asafoetida (hing)							 		, A pinch							 	

Salt							 		, to taste							 	
","To begin making Rajma Saagwala recipe, pressure cook the overnight soaked rajma for two whistles in a pressure cooker and keep it aside.Now heat a wok in medium flame, pour oil, add the cumin seeds and a pinch of asafoetida and let it crackle.Add the finely chopped garlic and sauté till aromatic.Add the finely chopped onion and green chilli and cook till the onions become translucent.Add the roughly chopped spinach and cooked rajma and give it a stir.Now add the turmeric, garam masala powder and season with salt and mix well.Let the vegetable cook in medium flame for 10 minutes, occasionally keep stirring in between.Once done, switch off the flame and it is ready to be served. Serve Rajma Saagwala as a side dish with Rabodi Ki Sabji and Whole Wheat Lachha Parathas for a delicious weekday meal."
Dum Ke Baingan Recipe,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Dum_Ke_Baingan_Recipe.jpg,Dum Ke Baingan Recipe is a delicious side dish made with whole baby brinjal that is slit in the middle and sautéed until it becomes soft in the side and charred on the outside.,Hyderabadi,Lunch,Vegetarian,Total in 40 M,"

							 		6 Small Green brinjal (green aubergine)							 		, slit into four							 	

							 		1 teaspoon Turmeric powder (Haldi) 

Salt							 		, to taste							 	

							 		1 Lemon juice 

Oil 
For the Masala

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		1 tablespoon Black pepper powder 

							 		3 Cloves (Laung) 

							 		1 Bay leaf (tej patta) 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		2 Dry Red Chillies 

							 		2 Onion							 		, chopped							 	

							 		1 inch Ginger							 		, chopped							 	

							 		4 cloves Garlic 
","To begin making the Dum Ke Baingan Recipe, we will grind all the masala that are mentioned in the list, cardamom, cinnamon stick, black pepper powder, cloves, bay leaf, cumin seeds, dry red chillies, onion, ginger, garlic to a coarse paste by adding some water.Heat a pan with oil, add whole brinjal that are slit and saute them for 10 minutes. Sprinkle some salt over it and cook it covered so that it gets cooked faster.Once the brinjal becomes soft and turns dark brown then it is cooked. You can take them out and keep it aside until you make the gravy.Add little more oil in the same pan , and add the ground masala into the pan and keep cooking until the gravy is cooked.The gravy will slowly turn thick now add the  roasted brinjal and drizzle lemon juice.Combine the Dum Ke Baingan  well  and check for salt. Cover it and cook for at least 2 minutes and serve hot.Serve the Dum Ke Baingan Recipe along with Tawa Paratha, Kadhi Pakora, Sweet Potato & Green Bean Salad by the side to pack it for your everyday lunch box or just have it at home."
