name_of_Dish,Diet_Type,Course_name,Discrption_of_Dish,Cuisine_name,Ratings_of_Dish,Similar_Dishes,Ingredients_of_Dish,Prepration_time,Cooking_time,Total_time,Makes,Recipe_Instructions
Breakfast Potato Quiche with Tender Corn,Diet: Vegetarian,Course: Snack,"Breakfast Potato Quiche is a perfect breakfast recipe where the crust of the quiche is made from potatoes and filled with creamy corn. The potato quiche makes a perfect recipe when you are calling people over for breakfast or a cozy sunday brunch. Serve it with some fresh juice of watermelon, orange and pomegranates or Cantaloupe Pomegranate and Mint Juice for breakfast.",['Cuisine: French'],4.8,"['Broccoli Quiche Recipe (with Eggless option)', 'Sundried Tomatoes and Shiitake Mushroom Quiche Recipe', 'Bacon Quiche Tart Recipe', 'Kale Blue Cheese and Cranberry Quiche Recipe']","['Potatoes (Aloo)', 'Butter (Salted)', 'Whole Black Peppercorns', 'Milk', 'Whole Wheat Flour', 'Baking powder', 'Sweet corn', 'Cayenne Pepper', 'Coriander (Dhania) Leaves', 'Cheddar cheese', 'Salt']",20 M, 35 M, 55 M, 4 Servings,"['To begin making the Breakfast Potato Quiche with Tender Corn, preheat oven to 200 C.', 'Gently press the grated potatoes between paper towels to dry them as best as possible. In a 9-inch pie plate, toss the potatoes with the melted butter, salt and pepper. Stir to combine well.', 'Press the potatoes into the bottom of the pan and up the sides to form a crust. Bake in the preheated oven for 30 -35 minutes until golden brown and sides of the potato crust start to crisp.', 'Mean while, in a sauce pan, whisk the whole wheat flour, milk, salt and cayenne pepper. Place the pan on medium heat and begin to cook the sauce, stirring continuously until thickened.', 'Stir in the baking powder at this stage and whisk until well blended. Turn off heat and add the steamed corn and stir.', 'When the hash brown potato crust is ready pour the corn mixture over it, sprinkle the cheese and return to the oven.', 'Lower the oven temperature to 180 C and bake for about 15 to 10 minutes until the cheese is light golden brown on top.', 'Serve the Breakfast Potato Quiche with a tall glass of freshly made fruit juice like Cantaloupe Pomegranate and Mint Juice\xa0and toast for breakfast.']"
Panasa Pottu Aava Koora Recipe - Andhra Style Mustard Flavoured Raw Jackfruit Curry,Diet: Diabetic Friendly,Course: Side Dish,"Panasa Pottu Ava Koora Recipe is shredded Raw Jackfruit cooked in a flavoursome mustard coconut masala, that is essentially Andhra Style.",['Cuisine: Andhra'],4.9,"['Andhra Style Tomato Cauliflower Koora', 'Andhra Style Davva Aava Koora Recipe ', 'Andhra Style Vankaya Kothimeera Karam Koora Recipe']","['Jackfruit Raw (Kathal)', 'Tamarind Paste', 'Green Chillies', 'Oil', 'Water', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Chana dal (Bengal Gram Dal)', 'Dry Red Chilli', 'Asafoetida (hing)', 'Curry leaves', 'Salt', 'Cashew nuts', 'Turmeric powder (Haldi)', 'Mustard seeds (Rai/ Kadugu)', 'Sesame seeds (Til seeds)', 'Dry Red Chilli']",10 M, 10 M, 20 M, 2 Servings,"['To begin making the\xa0Panasa Pottu Aava Koora, let us first make the Aava Paste.', '*For the\xa0Aava Paste:', 'In a small bowl, soak mustard seeds, sesame seeds, and red chili in hot water for 15 minutes.', 'After 15 minutes, drain the water and transfer the\xa0mustard seeds, sesame seeds, and red chili into a mixer-jar and grind to a smooth paste, using a little water if required.', 'Transfer to a bowl and set aside.', '*For the Jackfruit', 'Let us now cut the jackfruit, to do that we have to first, grease our hands and the knife that we are going to use, with some oil.', ""This important tip ensures that the hands don't get sticky from the natural fruit latex/sap present in the fruit does not get onto your hands and makes the cutting process hassle-free."", 'Keep a bowl of water mixed with some salt, ready to put the cut raw jackfruit pieces to avoid discolouration of the fruit.', 'Now that your hands and knife are well greased, cut the the jackfruit in half, discard the skin and start making 1 inch pieces and soak them in the salted water.', 'Place the jackfruit\xa0in a pressure cooker with 1/4 cup of water, tamarind paste\xa0,turmeric powder, & pressure\xa0cook for 3 whistles and turn off the flame.', 'Allow the pressure to release naturally. Drain any water from the jackfruit.', 'Finely chop the jackfruit and set aside.', '*For the Panasa Pottu Aava Koora preparation:', 'In a pan, heat oil\xa0on medium flame, add the mustard seeds and allow it to crackle, next add\xa0in the asafoetida, chana dal and urad dal and allow them to turn into a light brown colour.', 'Once the dals have turned brown, add curry leaves and green chilies.', 'Finally, add in the\xa0finely chopped raw jackfruit that was cooked earlier and\xa0add the prepared aava paste and give a quick mix. Cook covered for low flame for not more than 5 minutes.', 'Add fried cashew nuts, mix everything well.', 'Serve this\xa0Panasa Pottu Aava Koora\xa0Recipe\xa0along with\xa0Steamed Rice\xa0and\xa0Arachuvitta Sambar Recipe\xa0and\xa0Elai Vadam Recipe\xa0for a complete South Indian lunch.', 'For an\xa0Indian Diabetic\xa0meal, serve\xa0Panasa Pottu Aava Koora\xa0Recipe\xa0along with\xa0Foxtail Millet Lemon Rice Recipe\xa0and\xa0Palak Raita Recipe\xa0for a weekday lunch.']"
Homemade Corn Tortilla Recipe,Diet: Vegetarian,Course: Main Course,"The Homemade Corn Tortilla Recipe is simple and quick with just a few ingredients like maize flour, salt and hot water. The hot water acts like a binding and the corn partially cooks itself in the heat allowing it to bind itself into a dough. Although the traditionally recipe does not add wheat flour, you can optionally add 1/4 cup recipe, so it becomes easier to roll it out. ",['Cuisine: Mexican'],4.9,"['Tres Leches Recipe (Mexican Three Milk Cake)', 'Mexican Chilli & Cheesy Bean Dip Recipe ', 'Vegetarian Mexican Chili for Tacos Recipe (Made from Horse Gram)']","['Makki Ka Atta (Yellow Corn Meal Flour)', 'Salt', 'Hot water', 'Whole Wheat Flour']","5 M
", 30 M, 35 M, 6 corn tor,"['To begin making the Homemade Corn Tortilla Recipe, keep all the ingredients ready.', 'Into a sauce pan, add the water and salt and bring the water to a boil.', 'Once it comes to a boil, turn off the heat.', 'Add the corn flour/ makki atta to the hot water and keep stirring it.', 'It will come together to form a dough.', 'Cover the pan and allow the tortilla dough to rest for 20 to 30 minutes.', 'After 20 to 30 minutes, knead to make a smooth dough. If the dough is still sticky, add a little corn flour at a time and knead to make smooth dough.', 'If it is too dry, then sprinkle a little water at a time and knead to make a smooth dough.', 'Place the dough onto a clean surface and knead until pliable and smooth. Knead for a good 5 minutes until the dough is smooth.', 'The humidity in the hands and the heat from the water will bring the dough together and make it smooth.If dough is too sticky, add more masa harina; if it begins to dry out, sprinkle with water.', 'Preheat a cast iron skillet or a heavy bottomed skillet.', 'Divide dough into 8 to equal size balls. Using a rolling pin or a tortilla press, dust the dough portions on wheat flour flour or maida and roll out into a 6 inch diameter circle.', 'Ensure you use enough flour for dusting the tortillas so it does not stick to the rolling pin and tear away.', 'Also ensure when you roll, you roll with light pressure and not put too much pressure.', 'Place the rolled out tortillas on to the preheated skillet and allow to cook for approximately 30 seconds. You will notice that the tortillas will start to puff.', 'Flip over to the other side and cook the tortillas until they puff this side as well.', 'You can optionally place them on a flame and make them puff fully.', 'Repeat the process with the remaining dough portions and store the tortillas covered with a towel to stay warm and moist until ready to serve.', 'Serve the Corn Tortillas with\xa0Roasted Vegetables\xa0and\xa0Mexican Salsa.']"
Seppakizhangu Roast (South Indian Style Arbi Fry) Recipe,Diet: Vegetarian,Course: Lunch,"Seppakizhangu Roast Recipe is a much loved South Indian Style Arbi fry. This is made from Colocasia or Taro as the main ingredient, spiced in a South Indian style. It is crisp and makes a complete meal with simple south Indian meal of Rice and Rasam, or Phulkas and Parathas.",['Cuisine: South Indian Recipes'],4.9,"['Whole Green Moong Dal Sabzi Recipe (Vagharela Mag)', 'Makai Wali Bhindi Recipe', 'Pyaaz Ki Sabzi Recipe', 'Indian Spiced Brussel Sprouts Sabzi Recipe (Brussel Sprouts Stir Fry)']","['Colocasia root (Arbi)', 'Gram flour (besan)', 'Rice flour', 'Red Chilli powder', 'Coriander Powder (Dhania)', 'Turmeric powder (Haldi)', 'Oil', 'Salt']",15 M, 40 M, 55 M, 4 Servings,"['To begin making Seppakizhangu Roast (South Indian Style Arbi Fry) Recipe, take the arbi and pressure cook them with enough water for 1 whistle. Switch off the heat and release the pressure, this will avoid the overcooking of arbi. Now peel the skin of the arbi, cut each one of them into 2-3 pieces and keep it aside.', 'Take a big bowl, add all the dry ingredients except oil and mix well.', 'Now add the arbi mix it lightly to coat all the vegetable with spices. Marinate the arbi/\xa0colocasia in this mix for 20 minutes.', 'Heat oil in a pan on medium heat, add the marinated arbi and give it a gentle stir.', 'Let the arbi cook and get roasted in medium heat, occasionally give it a gentle stir.', 'Serve the Seppakizhangu Roast (South Indian Style Arbi Fry) Recipe with Steamed Rice and Rasam. This also makes a great combination with hot Phulkas or Chapatis.']"
Sambal Spiced Veggie Mee Goreng Recipe,Diet: Vegetarian,Course: Snack,"Mee Goreng also known as Mi Goreng is a classic hawker food specialty which is popular in Indonesia, Malaysia and Singapore.",['Cuisine: Asian'],4.9,"['Teriyaki Tofu Recipe', 'Singapore Rice Noodles with Peanuts and Sriracha', 'Thai Style Fried Bananas Recipe', 'Turmeric, Ginger And Chilli Pickle Recipe']","[""Archana's Kitchen Millet Noodles"", 'Onion', 'Green Bell Pepper (Capsicum)', 'Carrot (Gajjar)', 'Baby corn', 'Oil', 'Sambal paste', 'Onion', 'Green Chillies', 'Garlic', 'Lemongrass', 'Tamarind Water', 'Dry Red Chillies', 'Turmeric powder (Haldi)', 'Sugar', 'Salt', 'Oil']",40 M, 15 M, 55 M, 2 Servings,"['To begin making the Sambal Spiced Veggie Mee Goreng Recipe, start with making the Sambal paste first.', ""Blend onions, chili's, garlic, lemongrass, tamarind and dried chilies into a paste, using a mixer."", 'Add about 3 teaspoon oil in a pan. Once the oil is hot, add the paste and sauté until aromatic.', 'Now add the turmeric powder and saute on low heat for about 10-15 minutes until the raw smell goes.', 'Add tamarind paste, salt and sugar and cook till the oil separates from the pan and floats to the top.', 'Cook noodles as per packet instructions and drain the water. Allow it to cool.', 'Heat oil \xa0in a wide bottomed pan/ wok, add onions and saute until they turn translucent. Then add the carrots, baby corn and capsicum and fry till they turn slightly soft.', 'Add the sambal paste and saute for 2-3 minutes and then add salt, noodles. Mix well to combine.', 'Turn off the heat and transfer it to a bowl. Enjoy Sambal Spiced Veggie Mee Goreng Recipe while it is hot!', 'Serve\xa0Sambal Spiced Veggie Mee Goreng Recipe for dinner along with\xa0Thai Grilled Pineapple Recipe.']"
Karnataka Style Harive Soppu Bendi Recipe (Amaranth Leaves Cooked in Coconut Broth),Diet: High Protein Vegetarian,Course: Side Dish,"Karnataka Style Harive Soppu Bendi Recipe is basically Amaranth Leaves Cooked in Coconut Broth. Bendi means broth in Kannada. Harive Soppu Bendi is a simple yet flavourful. The freshly prepared coconut paste is added to the cooked spinach and finished with a simple south indian tempering. It is easy to make and is a wonderful dish to include in summers, as it is mildly spiced and lighter on the tummy. Serve the Harive Soppu Bendi Recipe (Karnataka Style Amaranth Leaves Cooked in Coconut Broth) along with steamed rice, Hunase Saaru Recipe (Mysore Style Spicy Tamarind Rasam), Gorikayi Palya Recipe  and elai vadam for a simple weekday lunch.",['Cuisine: Karnataka'],4.9,"['Keerai Masiyal Recipe (Stir Fried Green with Mustard and Curry Leaves)', 'Bengali Style Shaak Bhaja Recipe', 'Amaranth Leaves Khichdi Recipe', 'Harive Soppina Saaru Recipe (Karnataka Style Amaranth Leaves Cooked with lentils)']","['Green Amaranth Leaves', 'Fresh coconut', 'Cumin seeds (Jeera)', 'Green Chilli', 'Jaggery', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Dry Red Chilli', 'Asafoetida (hing)', 'Curry leaves', 'Oil', 'Salt']",10 M, 10 M, 20 M, 4 Servings,"['To begin making\xa0Harive Soppu Bendi Recipe (Karnataka Style Amaranth Leaves Cooked in Coconut Broth), clean, wash and rough chop the amaranth greens and keep aside.', 'Make a smooth paste of the grated coconut, cumin seeds and green chilli using a mixer grinder with little water and keep aside.', 'Now, cook the amaranth greens along with water and jaggery with 2 cups of water until the greens wilts.', 'To this add the ground coconut masala paste and simmer for 10 minutes.', 'Season with salt mix well and keep aside.', 'Now heat oil in a small tadka pan, add mustard and urad dal and let it splutter.', 'Once they splutter, add the asafoetida, red chilli and curry leaves and let it crackle.', 'Once done, switch off the flame and transfer the tadka over the amaranth greens mixture.', 'Serve the\xa0Harive Soppu Bendi Recipe (Karnataka Style Amaranth Leaves Cooked in Coconut Broth) along with steamed rice,\xa0Hunase Saaru Recipe (Mysore Style Spicy Tamarind Rasam),\xa0Gorikayi Palya Recipe\xa0\xa0and\xa0elai vadam\xa0for a simple weekday lunch.']"
Broccoli Pesto Open Toast Recipe,Diet: Vegetarian,Course: Dinner,"Broccoli Pesto Open Toast Recipe is an incredibly versatile way to mimic mini-pizzas, whip up quick snacks and work with bits and bobs that are left in your refrigerator. If you have a few basics stocked up in your fridge – like pesto, pizza sauce, bread, cheese then you can prepare open toast in few minutes.",['Cuisine: Continental'],4.9,"['Chilli Cheese Toast Recipe', 'Masala French Toast Recipe', 'Avocado On Toast With Fresh Figs And Balsamic Reduction']","['Broccoli', 'Basil leaves', 'Extra Virgin Olive Oil', 'Salt and Pepper', 'Garlic', 'Parmesan cheese', 'Whole Almonds (Badam)', 'Broccoli Pesto', 'Baguette', 'Cherry tomatoes', 'Italian seasoning', 'Salt and Pepper', 'Extra Virgin Olive Oil']",10 M, 30 M, 40 M, 6-8 Servin,"['To begin making the Broccoli Pesto Open Toast\xa0we will firstly make the pesto.', 'Bring a pot of water to a rolling boil, turn off the heat. Place the broccoli in a large sieve and lower it into the boiled water, leaving it there for about 2-3 minutes. You want the broccoli to soften, but not cooked. Remove broccoli from the water and rinse with cold water. Keep aside in a bowl until required.', 'In a food processor, grind the garlic and almonds with a little bit of salt. Add the blanched broccoli, basil and grind once more into a coarse paste.', 'Add the cheese and olive oil to the paste in small quantity at a time and grind once again till you get a smooth pesto.', 'To make the topping for the open toast, heat olive oil in a pan over medium heat. Add the sliced onions and saute till they turn soft.', 'Season with mixed Italian herbs and saute for few seconds. Turn off the heat. Add the halved cherry tomatoes, salt and pepper, stir to combine. You want the tomatoes to absorb the flavours but not get cooked completely.', 'At this stage you can choose to serve the Open Toast, chilled as it is or bake in in the oven. These toasts make great picnic snacks, where you simple spread the Broccoli Pesto and the tomatoes and serve.', 'Proceed with the steps below if you wish to grill and serve.', 'To assemble the toast, preheat your oven to 180 degrees C. Line a baking tray with the aluminum foil.', 'Arrange slices of bread on the sheet.', 'Spread the pesto generously on each bread slice. Top with the tomato mixture and if you desire, a little bit of cheddar cheese. Bake in the oven for 5-7 minutes until the bread is toasted.', 'You can grill the toast in the griddle pan as well. Heat a teaspoon of oil over medium heat in the pan. Layer bread slices with broccoli pesto and herbed tomato mixture. Sprinkle grated cheese on top of each bread slice.', 'Arrange bread slices in the hot grill pan and cook till bread slices are nicely toasted and cheese is melted.', 'Serve\xa0Broccoli Pesto Open Toasts hot along with Potato and Chickpea Salad\xa0for quick weeknight meal.']"
Sweet Potato & Oatmeal Kofta Curry (Non Fried),Diet: Vegetarian,Course: Side Dish,The Non Fried Sweet Potato and Oatmeal Kofta Curry is a perfect blend of the goodness of sweet potatoes and the nutrition from the oats. The addition of oats into the kofta’s makes them nutritious and a great way to get them into your diet. The sweet potato kofta recipe is a non-fried healthy recipe; I used the technique of using a Kuzhi Paniyaram pan or even sometimes bake them in the oven when I make large quantities.,['Cuisine: North Indian Recipes'],4.8,"['Spinach Paneer Kofta Curry Recipe', 'Paneer Kofta Curry Recipe (Non Fried)', 'Cauliflower Paneer Kofta Curry Recipe', 'Malai Kofta Recipe (Non Fried)']","['Sweet Potatoes', 'Instant Oats (Oatmeal)', 'Gram flour (besan)', 'Turmeric powder (Haldi)', 'Garam masala powder', 'Green Chillies', 'Coriander (Dhania) Leaves', 'Tomatoes', 'Honey', 'Ginger', 'Cardamom Powder (Elaichi)', 'Garam masala powder', 'Salt', 'Red Chilli powder', 'Fresh cream', 'Kasuri Methi (Dried Fenugreek Leaves)']",20 M, 60 M, 80 M, 4 Servings,"['To begin making the koftas; first combine all the ingredients for the koftas in a bowl; knead well and divide them into lemon size balls.', ""If you plan to bake the kofta's; then place the kofta balls on a greased baking sheet. Brush the kofta balls with some oil and bake in a preheated oven (200 C) until the koftas turn golden brown in colour. Remove the kofta's from the oven once baked and keep them aside."", ""If you plan to use the kuzhi paniyaram pan; then place the kofta balls in the pan's cavities; drizzle the kofta's with a little oil and pan fry them until golden brown on both sides. You will have to flip the kofta balls so they fry on all sides evenly."", 'Heat oil in a heavy bottomed pan; add in the grated ginger and the honey, sauté until the honey begins to bubble. Stir in the tomato puree, turmeric powder, cardamom powder, garam masala powder, salt and chilli powder to taste. Bring the mixture to a boil and simmer for a couple of minutes till the tomatoes get cooked through.', 'Finally add in the cream and the kasuri methi and stir it into the kofta curry. Add in the baked koftas, cover the pan and simmer until the curry and flavours get absorbed into the koftas.', 'Adjust the consistency of the koftas by adding water if required. Do make sure to check the salt and spice levels and adjust according to your taste.', 'Serve the delicious Sweet Potato Kofta Curry with Oatmeal for a quick and healthy weeknight dinner or even for parties.']"
Bhagar Recipe - Maharashtrian Style Spicy Barnyard Millet Pulao,Diet: Vegetarian,Course: North Indian Breakfast,"Bhagar or Variche Tandul (Sama ke Chawal or Barnyard Millet) is typically made during religious fasts in Maharashtra. This spicy dish is a great gluten free meal option on any day, since it is made with Bhagar or sama rice/same akki/sawa which is a millet.",['Cuisine: Maharashtrian Recipes'],4.8,"['Maharashtrian Vegetable Amboli Recipe (Savory Lentil Pancake Topped With Vegetables)', 'Maharashtrian Misal Pav Recipe', 'Maharashtrian Karanji Recipe (Gujiya) - A Delicious Diwali Sweet', 'Maharashtrian Batatyacha Kees Recipe (Pan Fried Spiced Potatoes with Peanuts)']","['Barnyard Millet', 'Green Chillies', 'Cumin seeds (Jeera)', 'Potatoes (Aloo)', 'Kokum (Malabar Tamarind)', 'Roasted Peanuts (Moongphali)', 'Ghee', 'Water', 'Sugar', 'Salt', 'Coriander (Dhania) Leaves']",15 M, 30 M, 45 M, 2-3 Servin,"['To begin making the Bhagar Recipe, first dry roast the bhagar (barnyard millet in a heavy bottom Wok/Kadai on a low heat, until you get a nice aroma. Remove onto a plate and keep aside.', 'Heat ghee in the same wok.\xa0Add cumin seeds and once they sizzle, add the green chillies and sauté for a few seconds.', 'After a few seconds, add chopped potatoes, peanut powder, kokum and mix everything properly.', 'After 2 to 3 minutes, add water, salt, sugar (optional) and bring it to a boil.', 'Once the water boils, add the roasted bhagar, stirring continuously.', 'Cook covered on medium heat till it is well done and soft. (About 10-12 minutes).', 'Switch off gas and keep covered for few minutes more. Mix once again.', 'Garnish Bhagar Recipe (Maharashtrian style spicy Barnyard Millet) with coriander leaves and serve hot.', 'You can serve\xa0Bhagar along with plain Yogurt,\xa0Tomato Onion Cucumber Raita\xa0or any other raita of your choice and a roasted papad.']"
Begun Bhaja Recipe (Bengali Style Spiced And Fried Aubergine Slices),Diet: Vegetarian,Course: Dinner,"Begun Bhaja is a traditional Bengali style dish of delicately spiced slices of aubergine that are then fried to a crisp and usually served with a simple, homely meal. It is crunchy and spicy, making it a delicious party appetizers or side-dish for your party menu as well. This is one of the easiest and delectable appetizers recipe, which requires no time and very little effort. In keeping with Bengali culinary tradition, the slices of aubergine are usually fried in mustard oil which gives it a pungent hit of flavour, but you can use refined oil if that is what you are used to. This Begun bhaja makes an awesome side dish with for lunch on lazy weekends or a dinner to end a busy day. ",['Cuisine: Bengali Recipes'],4.9,"['Aloo Dum', 'Aloo Potol (Parwal) Sabzi', 'Kumror/Kaddu Posto.']","['Brinjal (Baingan / Eggplant)', 'Red Chilli powder', 'Turmeric powder (Haldi)', 'Garam masala powder', 'Amchur (Dry Mango Powder)', 'Salt', 'Mustard oil']",10 M, 15 M, 25 M, 3 Servings,"['To begin making Begun Bhaja, first make the spice mix. In a bowl, combine the chilli powder, turmeric, salt and lemon juice and mix well.', 'Slice the washed aubergine into thickish slices of 1 cm thickness. Lay them out in a wide bowl/dish or plate and add the prepared spice mix to it.', 'Mix the spice mix with the slices of aubergine, rubbing them with your fingers so they are evenly coated with the spice.', 'Now prepare to fry them. Place a pan/skillet on the heat and add mustard oil to it. It is important to heat mustard oil till it gets smoky as that emanates maximum flavour.', 'When the oil begins to smoke, reduce the heat to lowest and add the slices to the oil in the pan, arranging them in a single layer.', 'Fry them on a low-medium heat for 3-4 minutes on one side before you flip them to cook on the other side. Cook them until sufficiently golden on both sides.', 'Remove the slices individually, with a slitted spoon and serve immediately, when still hot.', 'Serve the Begun Bhaja along\xa0with\xa0Bengali Style Cholar Dal\xa0and\xa0Jeera Rice\xa0or with\xa0Bhog Khichuri\xa0for a comforting Bengali-styled meal.']"
8 Ingredient Sugar Free Granola Parfait Recipe,Diet: Sugar Free Diet,Course: Snack,"Granola is a healthy breakfast consisting of Rolled Oats, Dried Fruit, Dry Fruit with Honey/Sugar/Maple Syrup baked in oven to give it a crispy toasty flavour which can be relished with Yoghurt, Fresh Fruits and Compote. Granola can stored in an airtight container for a no-fuss breakfast. I have made it sugar free and it has oats which is known for reducing cholesterol and aids in weight loss.",['Cuisine: Continental'],4.9,"['Oats Yogurt Parfait with Fresh Fruits', 'Oats, Mango and Yogurt Breakfast Parfait', 'Choco Berry Chia Parfait']","['Instant Oats (Oatmeal)', 'Walnuts', 'Whole Almonds (Badam)', 'Apricots', 'Dates', 'Honey', 'Extra Virgin Olive Oil', 'Cinnamon Powder (Dalchini)', 'Salt', 'Curd (Dahi / Yogurt)', 'Kiwi', 'Anardana Powder (Pomegranate Seed Powder)']","5 M
", 40 M, 45 M, 4 Servings,"['To begin making the 8 Ingredient Sugar Free Granola Parfait recipe, mix up the olive oil and honey in a mixing bowl. Stir them up. Preheat Oven at 170 Celsius for 10 minutes.', 'Take a bowl, add rolled oats, chopped walnuts and almonds giving it a nice mix. Add cinnamon and salt and stir to combine.', 'Pour in olive oil and honey to the rolled oats mixture. Give it thorough stir to combine.', 'Brush up olive oil to the baking tray and spread up the Granola evenly to avoid any crumbles.', 'Stir in Granola every 10 minutes and bake them for 25 to 30 minutes.', 'After 20 minutes mix chopped Apricots and Dates into the granola.', 'Lookout for Golden brown colour and let it cool.', 'For making parfait, take the short glasses and layer them with granola in both the glasses. Stockup the greek yoghurt leaving place for Granola and pile up the fresh fruits on it.', 'Serve 8 Ingredient Sugar Free Granola Parfait on its own for a healthy and filling breakfast or have it \xa0along with a glass of\xa0Plum Ginger Juice Recipe\xa0and\xa0Muskmelon (Kharbuj) Juice Recipe.']"
Sweet Potato & Neem Leaves Vegetable Curry Recipe,Diet: Vegetarian,Course: Lunch,Neem & Sweet potato have extreme differences in taste but have numerous health benefits. I combined them into a single healthy dish by making this simple Sweet Potato & Neem Leaves Vegetable Curry Recipe. The vegetable curry’s flavor is further enhanced with roasted peanut powder. The dish is definitely sweet & bitter with bitterness slightly overriding.,['Cuisine: Indian'],4.9,"['Stuffed Karela With Aloo Recipe', 'Kathirikai Poondu Pirattal Recipe (South Indian Style Brinjal Stir Fry With Garlic)', 'Radish Greens Poriyal Recipe (South Indian Style Radish Greens Stir Fry)', 'Mexican Quinoa Bean Salad Recipe']","['Sweet Potatoes', 'Neem leaves', 'Asafoetida (hing)', 'Mustard seeds (Rai/ Kadugu)', 'White Urad Dal (Split)', 'Dry Red Chilli', 'Chana dal (Bengal Gram Dal)', 'Oil', 'Salt', 'Roasted Peanuts (Moongphali)']",20 M, 30 M, 50 M, 4 Servings,"['To prepare Sweet Potato & Neem Leaves Vegetable Curry Recipe, clean the neem leaves and tear the stem out of it.', 'Pressure cook the sweet potato for just 1 whistle or 5 minutes whichever is earlier, on full flame. The pressure will take longer time if you put a\xa0lot of water.', 'Take out, peel & chop them into cubes.', 'Take a non-stick pan, add oil, hing, mustard, urad dhal, red chilli & bengal gram dal. Fry them well.', 'Add the neem leaves and let it fry for 3-4 minutes until they turn slightly crispy.', 'Add the chopped sweet potato and salt. Cook well until the sweet potato is fried well.', 'Garnish with roasted peanut powder.', 'Serve Sweet Potato & Neem Leaves Vegetable Curry Recipe with hot steaming rasam\xa0rice.']"
Roasted Vegetable Lasagna Recipe ,Diet: Vegetarian,Course: Main Course,"Roasted Vegetable Lasagna  is one of the most favourite dishes for dinner at my home. Packed with vegetables and goodness of ricotta or even paneer and durum wheat pasta make it wholesome, nourishing and absolutely delicious.",['Cuisine: Italian Recipes'],4.9,"['Roasted Eggplant & Olive Lasagna', 'Spinach Basil Cottage Cheese Lasagna Recipe', ""Garfield's Lasagna Recipe With Minced Meat And Italian Spices"", 'Zucchini Lasagna Recipe']","['Lasagna sheets', 'Extra Virgin Olive Oil', 'Onion', 'Garlic', 'Button mushrooms', 'Carrots (Gajjar)', 'Red Bell pepper (Capsicum)', 'Green zucchini', 'Veeba Pizza &amp; Pasta Sauce', 'Fresh cream', 'Veeba White Pasta Dressing', 'Basil leaves', 'Paneer (Homemade Cottage Cheese)', 'Mozzarella cheese']",20 M, 60 M, 80 M, 6 Servings,"['To begin making the Roasted Vegetable Ricotta Cheese Lasagne Recipe, do make sure you have all the ingredients ready. From the\xa0homemade paneer\xa0or ricotta cheese\xa0and the chopped spinach and basil.', 'Heat olive oil in a\xa0wok; add the\xa0garlic,\xa0and stir-fry for a few seconds.', 'Next add the vegetables and sprinkle the salt. Stir-fry the vegetables until they get cooked completely and are soft and tender.', 'This takes about 10 minutes on medium-high heat. Finally, stir in the basil to the vegetables.', 'The next step is to assemble the Lasagna. \xa0Preheat the oven to 180 C.', ""Whisk the\xa0tomato basil sauce, white pasta dressing\xa0and the cream together until well combined. We will spread the sauce and roasted vegetables over three layers, so\xa0it's\xa0good idea to divide them into three portions."", 'Spread a portion of sauce at the bottom of the pan; then scatter a portion of the roasted vegetables and paneer cheese and Mozzarella over the sauce layer.', 'Place a layer of lasagne sheets over the roasted vegetables layer until all the portions are covered.', 'Repeat the similar process for another two times.\xa0Finally,\xa0sprinkle the mozzarella cheese and torn basil leaves evenly over the top covering the entire Lasagna.', 'Tightly wrap with foil and place in the preheated oven and bake for 45 minutes.', 'Remove from the oven and allow the Roasted Vegetable Lasagna\xa0to sit for at least five minutes before serving.', 'Serve\xa0Roasted Vegetable Lasagna Recipe along with\xa0Insalata Caprese Salad Recipe\xa0and\xa0Sticky Date (Fig) & Walnut Pudding Recipe with Toffee Sauce.']"
Khakhra Pizza Recipe With Cheese Spread & Roasted Vegetables,Diet: Vegetarian,Course: Snack,"The Khakhra Pizza Recipe is a delicious pizza, that is made from Britannias cheese spread and topped with roasted vegetables.",['Cuisine: Indian'],4.9,"['Cheesy Spinach Open Toast', 'Masala French\xa0Toast', 'Mushrooms On\xa0Toast', 'Chilli Cheese\xa0Toast\xa0Recipe', 'Beans on Toast']","['Homemade Whole Wheat Khakras', 'Britannia Cheese Spread - Peppy Pizza', 'Green Bell Pepper (Capsicum)', 'Tomatoes', 'Sweet corn', 'Basil leaves', 'Pizza seasoning', 'Red Chilli flakes']","5 M
", 30 M, 35 M, 2 Servings,"['To begin making the Khakhra Pizza Recipe (Whole Wheat Crisp Flatbread Pizza), you can either make your khakra at home or buy the store bought ones. Here is the recipe to make the homemade khakhra recipe', 'Heat the butter in a broad skillet pan, add capsicum and saute for a few minutes until softened. Add the blanched and chopped tomatoes, corn and italian seasoning and cook until the corn gets well coated with the capsicum and seasoning. Stir in the basil leaves and turn off the heat.', 'The final step is to make the Khakhra pizza.', 'Place a khakhra on a serving plate, spread a large tablespoon of Britannias Peppy Pizza Cheese Spread which adds a great taste and flavor to the pizza,', 'Once spread, sprinkle the corn topping over the khakhra and voila the pizza is ready to be served.', 'Serve the\xa0Khakhra Pizza\xa0as a tea time snack or as a quick after school snack for kids or serve it as a snack along with\xa0Masala Chai/Espresso Coffee.']"
